stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,level_id,platform_code
910GCAMHTH-1001044-CAMBR-3,,CAMBR,,51.53238,-0.05723,3,910GCAMHTH,L#0,
910GCAMHTH-1001044-RLY-5,,RLY,,51.53233,-0.0576,3,910GCAMHTH,L#0,
910GCAMHTH-1001044-RPL-N-2,,RPL-N,,51.53208,-0.05756,3,910GCAMHTH,L#1,
910GCAMHTH-1001044-RPL-S-4,,RPL-S,,51.53211,-0.05735,3,910GCAMHTH,L#1,
910GCAMHTH-Plat01-SB-london-overground,,Southbound Platform 1,,,,0,910GCAMHTH,,1
910GCAMHTH-Plat02-NB-london-overground,,Northbound Platform 2,,,,0,910GCAMHTH,,2
910GCATFORD,910GCATFORD,Catford,,,,1,,,
910GCATFORD-Outside,,Outside Catford,,,,3,910GCATFORD,,
910GCATFORD-1001053-Entr-4,,Entr,,51.44415,-0.02634,3,910GCATFORD,L#0,
910GCATFORD-1001053-RLY-3,,RLY,,51.44437,-0.02619,3,910GCATFORD,L#0,
910GCATFORD-1001053-RPL N-1,,RPL N,,51.44453,-0.02627,3,910GCATFORD,L#1,
910GCATFORD-1001053-RPL S-2,,RPL S,,51.44451,-0.02617,3,910GCATFORD,L#1,
910GCATFORD-Plat01-NB-national-rail,,Northbound Platform 1,,,,0,910GCATFORD,,1
910GCATFORD-Plat02-SB-national-rail,,Southbound Platform 2,,,,0,910GCATFORD,,2
910GCFPK,910GCFPK,Crofton Park,,,,1,,,
910GCFPK-Outside,,Outside Crofton Park,,,,3,910GCFPK,,
910GCFPK-1001076-Bus-1,,Bus,,51.45457,-0.03742,3,910GCFPK,L#0,
910GCFPK-1001076-EntB-5,,EntB,,51.45536,-0.03686,3,910GCFPK,L#1,
910GCFPK-1001076-EntL-7,,EntL,,51.45454,-0.03466,3,910GCFPK,L#0,
910GCFPK-1001076-EntM-6,,EntM,,51.45426,-0.0351,3,910GCFPK,L#0,
910GCFPK-1001076-FBdg-8,,FBdg,,51.45533,-0.03677,3,910GCFPK,L#1,
910GCFPK-1001076-RLY-4,,RLY,,51.45522,-0.03683,3,910GCFPK,L#0,
