UniqueId,StationUniqueId,AreaName,AreaId,Level,Lat,Lon,FriendlyName
910GEDMNGRN-1001092-Entr-3,910GEDMNGRN,Entr,3,0,51.62492,-0.06087,Entr
910GEDMNGRN-1001092-RLY-5,910GEDMNGRN,RLY,5,0,51.62497,-0.06114,RLY
910GEDMNGRN-1001092-RPL-N-2,910GEDMNGRN,RPL-N,2,1,51.62452,-0.06148,RPL-N
910GEDMNGRN-1001092-RPL-S-4,910GEDMNGRN,RPL-S,4,1,51.62449,-0.06129,RPL-S
910GELTR-1001096-Bus-1,910GELTR,Bus,1,0,51.65327,-0.27951,Bus
910GELTR-1001096-EntM-6,910GELTR,EntM,6,0,51.653,-0.27959,EntM
910GELTR-1001096-EntP-7,910GELTR,EntP,7,0,51.65318,-0.27982,EntP
910GELTR-1001096-FBdg-8,910GELTR,FBdg,8,1,51.65261,-0.27987,FBdg
910GELTR-1001096-RLY-5,910GELTR,RLY,5,0,51.65272,-0.27998,RLY
910GELTR-1001096-RPL3-4,910GELTR,RPL3,4,0,51.6528,-0.28029,RPL3
910GELTR-1001096-RPL-N-3,910GELTR,RPL-N,3,0,51.65286,-0.28018,RPL-N
910GELTR-1001096-RPL-S-2,910GELTR,RPL-S,2,0,51.65297,-0.27994,RPL-S
910GEMRSPKH-1001098-Bus-1,910GEMRSPKH,Bus,1,0,51.56908,0.2196,Bus
910GEMRSPKH-1001098-Entr-3,910GEMRSPKH,Entr,3,0,51.56904,0.2197,Entr
910GEMRSPKH-1001098-RLY-4,910GEMRSPKH,RLY,4,0,51.56864,0.22011,RLY
910GEMRSPKH-1001098-RPL-2,910GEMRSPKH,RPL,2,-1,51.56871,0.22049,RPL
910GENFLDTN-1001101-Bus-1,910GENFLDTN,Bus,1,0,51.65238,-0.07842,Bus
910GENFLDTN-1001101-BusH-4,910GENFLDTN,BusH,4,0,51.6529,-0.08053,BusH
910GENFLDTN-1001101-Entr-3,910GENFLDTN,Entr,3,0,51.65213,-0.07963,Entr
910GENFLDTN-1001101-RLY-5,910GENFLDTN,RLY,5,0,51.65202,-0.07933,RLY
