PlatformUniqueId,StopAreaNaptanCode,Line,DirectionTowards,MinGap,MaxGap,AverageGap,MinStep,MaxStep,AverageStep,DesignatedLevelAccessPoint,LocationOfLevelAccess,LevelAccessByManualRamp,AdditionalAccessibilityInformation,GroupName
910GHRLDWOD-Plat02-EB-elizabeth,910GHRLDWOD,elizabeth,Shenfield,,,,,,,False,,TRUE,,
910GHRLDWOD-Plat03-WB-elizabeth,910GHRLDWOD,elizabeth,Liverpool Street,,,,,,,False,,TRUE,,
910GHRLDWOD-Plat04-EB-elizabeth,910GHRLDWOD,elizabeth,Shenfield,,,,,,,False,,TRUE,,
910GHTCHEND-Plat01-SB-london-overground,910GHTCHEND,london-overground,,,,,,,,False,,False,,
910GHTCHEND-Plat02-NB-london-overground,910GHTCHEND,london-overground,Watford Junction,,,,,,,False,,TRUE,,
910GHYDNSRD-Plat01-NB-thameslink,910GHYDNSRD,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GHYDNSRD-Plat02-SB-thameslink,910GHYDNSRD,thameslink,,,,,,,,False,,False,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GILFORD-Plat01-WB-elizabeth,910GILFORD,elizabeth,,,,,,,,False,,TRUE,,
910GILFORD-Plat02-EB-elizabeth,910GILFORD,elizabeth,,,,,,,,False,,TRUE,,
910GILFORD-Plat03-WB-elizabeth,910GILFORD,elizabeth,,,,,,,,False,,TRUE,,
910GILFORD-Plat04-EB-elizabeth,910GILFORD,elizabeth,,,,,,,,False,,TRUE,,
910GIVER-Plat01-WB-elizabeth,910GIVER,elizabeth,Reading,,,,,,,False,,TRUE,,
910GIVER-Plat02-EB-elizabeth,910GIVER,elizabeth,Paddington Station,,,,,,,False,,TRUE,,
910GIVER-Plat03-WB-elizabeth,910GIVER,elizabeth,Reading,,,,,,,False,,TRUE,,
910GIVER-Plat04-EB-elizabeth,910GIVER,elizabeth,Paddington Station,,,,,,,False,,TRUE,,
